,User,Tweet,ratio
58,mecimapro,"[ANNOUNCEMENT] MY DAY! We are excited to announce an additional show to DAY6 WORLD TOUR 'GRAVITY' IN JAKARTA, on Sunday, December 1st 2019 at Tennis Indoor Senayan. Stay tuned for more details! #DAY6GRAVITYinJKT https://t.co/OZzokgFGp6",0.5495
59,pattonoswalt,"Amen, Bob. She should be a real American like you, growing up on a six acre estate complete with tennis court and horse paddock, and then bravely adopting a faux “redneck shitkicker” cosplay persona. God bless you, buddy ruff. https://t.co/OLlL430TnN",0.0133
60,malerodriguezx,"[ABRO HILO] deportista que les hizó amar el fútbol, hockey, tennis etc

empiezo yo https://t.co/PuqIVLkY02",0.1899
61,NiallOfficial,"What a day for sport!!! @LewisHamilton wins the Grand Prix, the cricket went down to the last ball and best of all my dude @DjokerNole won @Wimbledon for the fifth time in what was the greatest game of tennis I can ever remember watching.",0.0342
62,YouGov,One in eight men (12%) say they could win a point in a game of tennis against 23 time grand slam winner Serena Williams https://t.co/q0eNBjn7Vu https://t.co/3InBOWdYwh,0.4923
63,mecimapro,"[ANNOUNCEMENT] DAY6 WORLD TOUR 'GRAVITY' IN JAKARTA - Saturday, November 30th 2019 (7PM) at Tennis Indoor Senayan. My Day, ticketing details coming soon! #DAY6GravityInJKT https://t.co/1J1Svgahhi",0.4427
64,washingtonpost,Tennis umpires reportedly considering boycott of Serena Williams matches https://t.co/1q0iKzuQ4v,1.1942
65,susannareid100,"Many people saying Serena Williams was justly punished. No. She was punished more harshly than a man, as male tennis players have admitted. There is unconscious bias at work here - some expect ""better"" behaviour from women &amp; that's #EverydaySexism.",0.1683
66,MacMiller,looking for people to play tennis with. serious inquiries only.,0.0421
67,SheriffClarke,"Serena Williams has been a GREAT TENNIS CHAMPION and ROLE MODEL for young girls. Media highlighted that she ""played for ALL MOM'S's today."" MOM's means they let there pregnancies go full term. Will the left now call her anti reproductive rights? Hmmm? https://t.co/37KH8ftWOW",0.9535
68,WorldWideWob,LeBron out here doing that thing where you fake throw the tennis ball and your dog goes running into the yard lookin for it until it realizes it’s been punk’d https://t.co/odtO4F9Jhc,0.0063
69,rogerfederer,Apparently I'm the oldest tennis player with a #1️⃣ ranking. Somebody might have mentioned that to me already but I had a hard time hearing 👴🏻,0.0187
70,JuanpaZurita,"Me acaba de llegar mis tennis personalizados de @dolcegabbana 

Están durisimos ⚡️🙌🏻 https://t.co/4KhIFD7Nk2",0.0807
71,EthanDolan,Just beat gray in tennis now I get to racket slap him,0.0330
72,Cyrilhanouna,Salut mes beautés je voulais vous faire un bisou avant de partir au tennis! Et même si vous vous en foutez c est l anniv de ma mère auj!:)),0.2852
73,Ashton5SOS,"Played this in my first school talent quest with my buddy, we won 1st place ... They gave us a tennis ball,Still mad https://t.co/ylPYbCC851",0.0515
74,AlfieDeyes,"As soon as I tweeted about doing a little spree, the table tennis table arrived so I never got time to do one. Lets do one now xx",0.2199
75,AlfieDeyes,Lying on my office floor waiting for my table tennis table to arrive..I have nothing to do but wait. Shall we do a little tweet/dm spree?,0.1757
76,JaiBrooks1,Tennis is back!! http://t.co/SaJLXVoMx7,0.1139
77,NiallOfficial,Got up super early this morning to watch the tennis and keep up to date with how Westmeath are gettin on #bringonlurch,0.0625
78,NiallOfficial,I'll take anything I can get when it comes to my tennis game https://t.co/glyJTFhgbQ,0.0523
79,Ashton5SOS,Remember playing this at my school talent quest with my pal when we were 12.. We came first and won a tennis ball 😶 http://t.co/FCXJ6xhT43,0.0894
80,NiallOfficial,“@JKCorden: @NiallOfficial I would batter you at tennis legend x” would Ya really legend? Doubt it mate !,0.0211
81,JensenAckles,Tennis anyone?  #ThingsDeanWinchesterWouldNeverSay #SPNFamily http://t.co/UpNPSBDHet,0.0575
82,NiallOfficial,"@DjokerNole next time we play tennis, I'm beating Ya in 3 straight sets , winning over 5 last time took too long .",0.0610
83,NiallOfficial,"I've played nearly 7 hours of tennis in the last two days, my body is killing !",0.1248
84,5SOS,Professional table tennis player Calum forced to retire after a freak accident where he crashed into the garage door. Sport world outraged,0.0880
85,justinbieber,watch me beat #WillFerrell in @DesertSmash #tennis this Tuesday. tickets benefit @CFCcharity: http://t.co/RWKpgyGj7q,0.0425
86,Michael5SOS,36 WHITE *table tennis* BALLS http://t.co/ah3HVqLzKO,0.0913
87,NiallOfficial,"@DjokerNole congratulations on playing insane tennis and winning your 5th australian open, incredible athlete and role model .",0.0451
88,NiallOfficial,Different league of tennis tonight ! Jesus Christ ! @DjokerNole and @stanwawrinka were incredible ! Congrats nole ! Final will be insane,0.0820
89,MatthewEspinosa,I WOULD GO TO THE STORE AND GET A POTATO AND A TENNIS RACKET BUT IM IN A HOTEL ROOM IN CHICAGO NOT KNOWING WHERE ANY ARE. HELP,0.0621
90,MatthewEspinosa,YO IF U SMASH A POTATO WITH A TENNIS RACKET IM PRETTY SURE YOU CAN MAKE FRIES THAT WAY. SOMEONE PLEASE DO THIS SO I KNOW IF IM RIGHT OR NOT,0.0641
91,justinbieber,1st tennis lesson pretty bad lol http://t.co/cBy8wHYpNt,0.0440
92,NiallOfficial,Watching the tennis in bed! Havnt been able to get up all day ! Tired,0.1441
93,TheVampsCon,"If I fall off the stage today I fall about 20 feet onto a tennis court, not the best idea.",0.1658
94,NiallOfficial,I was terrible ! But was an amazing experience to play with the number 1 tennis player in the world !… http://t.co/NBPtCOWwqD,0.1486
95,JaiBrooks1,late night tennis! cheers @Janina for the photo http://t.co/PBzPLElcjB,0.1548
96,JaiBrooks1,"time for tennis, me vs luke. who do you think will win... IM READING EVER COMMENT SO IT BETTER BE ME hahahaha",0.8887
97,JaiBrooks1,"had a nice tennis session, hot and sweaty ; ) hahahaha jks blisters everywhere and smelly feet",0.2110
98,ShawnMendes,Playin some tennis with my cousins ✊,0.0616
99,AustinMahone,Good early morning tennis match with the baes 🎾,0.2962
